x,Curve1
0.0895,33.161
0.2147,32.925
0.2505,32.866
0.2684,32.63
0.34,32.512
0.4116,32.453
0.4474,32.453
0.5011,32.1
0.5906,31.982
0.6084,31.982
0.7158,31.687
0.7874,31.687
0.8053,31.687
0.8948,31.392
0.9664,31.215
1.0379,31.215
1.1095,31.156
1.1811,31.038
1.2706,30.861
1.378,30.802
1.5211,30.566
1.5927,30.212
1.7001,30.153
1.7717,30.035
1.8253,29.917
1.9685,29.799
2.0938,29.563
2.2369,29.445
2.3264,29.327
2.3443,29.327
2.4875,29.209
2.5233,29.209
2.6664,29.032
2.8275,28.678
2.9885,28.501
3.1138,28.324
3.2391,28.147
3.257,28.147
3.418,28.087
3.4896,28.028
3.6149,27.851
3.6328,27.851
3.8475,27.615
3.9728,27.615
4.1339,27.497
4.3307,27.32
4.4202,27.084
4.4739,27.025
4.4918,26.966
4.617,26.907
4.7065,26.789
4.8139,26.847
4.9392,26.729
5.0644,26.611
5.2255,26.434
5.3686,26.198
5.6371,26.256
5.7445,26.197
5.8339,25.961
6.0308,25.843
6.1382,25.666
6.2276,25.666
6.4066,25.724
6.4961,25.489
6.675,25.194
6.8003,25.135
6.9435,24.899
7.0866,24.898
7.1224,24.839
7.2298,24.662
7.3372,24.662
7.4087,24.544
7.4982,24.544
7.5698,24.367
7.7845,24.249
7.8919,24.248
7.9814,24.189
8.1067,24.189
8.2498,24.13
8.3572,24.071
8.5004,23.776
8.6972,23.775
8.8583,23.657
9.0193,23.539
9.1983,23.421
9.2341,23.421
9.3236,23.303
9.4309,23.126
9.5562,22.949
9.6815,22.889
9.7709,22.83
9.8425,22.83
10.0036,22.594
10.1467,22.594
10.2541,22.417
10.3615,22.417
10.5583,22.181
10.6299,22.063
10.7552,22.121
10.8447,22.121
11.0415,21.944
11.1847,21.885
11.3994,21.649
11.4889,21.531
11.6858,21.412
11.7573,21.353
11.9542,21.294
12.0616,21.235
12.1868,21.234
12.3658,20.939
12.5268,20.762
12.6521,20.703
12.8311,20.644
12.9742,20.467
13.1353,20.231
13.2606,20.289
13.3679,20.289
13.4037,20.289
13.6185,19.994
13.7795,19.935
13.9943,19.817
14.1553,19.639
14.2985,19.757
14.4238,19.58
14.5848,19.521
14.7101,19.285
14.7817,19.226
15.0143,18.931
15.2112,18.753
15.4259,18.576
15.6943,18.458
15.8196,18.399
15.9628,18.398
16.0702,18.398
16.1775,17.985
16.3744,17.926
16.4996,17.867
16.5712,17.867
16.6249,17.808
16.6786,17.808
16.8218,17.689
17.0007,17.512
17.0723,17.453
17.1081,17.453
17.4481,17.217
17.7165,17.216
17.9492,17.157
18.1102,16.921
18.2892,16.685
18.4503,16.508
18.7724,16.271
18.8797,16.153
19.0408,16.153
19.184,16.035
19.2734,15.799
19.2913,15.799
19.4345,15.916
19.6135,15.798
19.8103,15.68
19.9356,15.621
20.0787,15.385
20.3472,15.384
20.544,15.148
20.7409,14.912
20.8661,14.735
20.9735,14.794
21.2062,14.616
21.3493,14.498
21.5283,14.498
21.6535,14.085
21.8325,13.967
22.083,13.848
22.1188,13.672
22.1546,13.672
22.3157,13.495
22.4409,13.376
22.6736,13.022
22.9062,12.845
23.0136,12.727
23.1747,12.55
23.2999,12.491
23.6042,11.901
23.7831,11.724
23.8905,11.547
24.0515,11.311
24.1589,11.075
24.2126,11.016
24.3737,10.604
24.4094,10.486
24.4989,9.955
24.6063,9.484
24.7316,9.425
24.821,8.659
